category,description,count_or_value,example
sensor_zero_values,co2-1: zero_temp_rows,28752,"Нули исключены из физических расчетов, но сохранены как признак качества данных."
sensor_zero_values,co2-1: zero_humidity_rows,28752,"Нули исключены из физических расчетов, но сохранены как признак качества данных."
sensor_zero_values,co2-1: zero_co2_rows,28753,"Нули исключены из физических расчетов, но сохранены как признак качества данных."
sensor_zero_values,th-2: zero_humidity_rows,36,"Нули исключены из физических расчетов, но сохранены как признак качества данных."
sensor_gap,co2-1: максимальный разрыв,3965.0 мин,2026-03-28 17:26 - 2026-03-31 11:31
sensor_gap,th-1: максимальный разрыв,3965.0 мин,2026-03-28 17:26 - 2026-03-31 11:31
sensor_gap,th-2: максимальный разрыв,3965.0 мин,2026-03-28 17:25 - 2026-03-31 11:30
sensor_divergence,Температурная пара th-1 - th-2,2.69 °C среднее abs,Признак пространственной неоднородности или смещения датчиков.
sensor_divergence,Температурная пара th-2 - co2-1,3.23 °C среднее abs,Признак пространственной неоднородности или смещения датчиков.
relay_balance,Реле 8: ON/OFF не сбалансированы,22/21,Возможны незакрытые интервалы или ручные переключения вне логики профиля.
relay_balance,Реле 9: ON/OFF не сбалансированы,19/18,Возможны незакрытые интервалы или ручные переключения вне логики профиля.
relay_balance,Реле 11: ON/OFF не сбалансированы,17/16,Возможны незакрытые интервалы или ручные переключения вне логики профиля.
